Order_ID,Order_Date,Customer,Region,State,City,Category,Product,Quantity,Sales,Discount,Profit,Salesperson
81,2025-02-28,Customer_60,South,Telangana,Hyderabad,Clothing,Shirt,9,245142.0,0,26027.99,Salesperson_2
82,2025-03-16,Customer_50,South,Tamil Nadu,Coimbatore,Clothing,Shoes,8,238997.2,5,39242.53,Salesperson_4
83,2025-06-02,Customer_76,South,Karnataka,Mysuru,Office,Pen,9,162081.0,0,19564.76,Salesperson_10
84,2025-06-14,Customer_25,West,Maharashtra,Pune,Office,Pen,6,176016.0,20,25399.55,Salesperson_12
85,2025-07-15,Customer_50,South,Telangana,Hyderabad,Furniture,Bookshelf,1,18149.2,15,4107.29,Salesperson_11
86,2025-08-22,Customer_2,South,Tamil Nadu,Chennai,Furniture,Sofa,2,58710.0,0,10655.15,Salesperson_12
87,2025-11-29,Customer_11,South,Tamil Nadu,Chennai,Electronics,Headphones,5,90748.0,20,20252.79,Salesperson_14
88,2025-11-20,Customer_88,East,Bihar,Patna,Clothing,Shoes,9,20534.4,20,1377.96,Salesperson_15
89,2025-01-15,Customer_6,East,West Bengal,Kolkata,Office,Printer,2,56194.4,5,12559.46,Salesperson_6
90,2025-12-16,Customer_24,North,Punjab,Ludhiana,Clothing,Shoes,3,39607.2,20,6060.41,Salesperson_3
91,2025-05-11,Customer_59,South,Karnataka,Mysuru,Furniture,Bookshelf,10,93850.5,5,15512.31,Salesperson_5
92,2025-08-06,Customer_89,North,Punjab,Ludhiana,Furniture,Chair,8,148134.4,20,18485.48,Salesperson_5
93,2025-10-22,Customer_38,West,Gujarat,Ahmedabad,Office,Monitor,2,27276.5,15,5263.84,Salesperson_12
94,2025-09-12,Customer_37,East,West Bengal,Kolkata,Clothing,Shirt,10,454440.0,0,126177.19,Salesperson_13
95,2025-11-18,Customer_83,South,Telangana,Hyderabad,Furniture,Desk,10,160787.5,5,33292.99,Salesperson_1
96,2025-03-31,Customer_26,East,Odisha,Bhubaneswar,Clothing,Jeans,2,35712.0,10,8459.11,Salesperson_3
97,2025-08-28,Customer_10,East,Bihar,Patna,Furniture,Sofa,8,142862.4,10,35866.77,Salesperson_3
98,2025-08-21,Customer_48,South,Telangana,Hyderabad,Clothing,Shirt,7,8895.6,10,1638.06,Salesperson_11
99,2025-10-15,Customer_42,East,Bihar,Patna,Clothing,Shirt,4,125592.0,0,25732.13,Salesperson_15
100,2025-01-20,Customer_39,South,Telangana,Hyderabad,Office,Pen,7,54170.9,5,3322.66,Salesperson_8
101,2025-03-21,Customer_54,North,Delhi,Delhi,Furniture,Bookshelf,8,158809.6,20,24580.82,Salesperson_11
102,2025-05-01,Customer_47,North,Punjab,Ludhiana,Clothing,Shirt,6,75163.8,15,12114.45,Salesperson_2
103,2025-08-21,Customer_12,East,Bihar,Patna,Electronics,Headphones,5,64695.0,0,18583.81,Salesperson_11
104,2025-10-11,Customer_27,South,Telangana,Hyderabad,Electronics,Tablet,4,28006.4,20,2837.09,Salesperson_10
105,2025-03-31,Customer_15,South,Karnataka,Mysuru,Furniture,Chair,5,47414.5,5,8774.24,Salesperson_11
106,2025-01-27,Customer_17,North,Delhi,Delhi,Clothing,Jeans,10,217180.0,0,20319.7,Salesperson_12
107,2025-08-20,Customer_65,West,Rajasthan,Jaipur,Electronics,Headphones,8,155046.4,20,30763.76,Salesperson_4
108,2025-02-25,Customer_63,North,Haryana,Faridabad,Office,Printer,1,27106.5,15,4244.02,Salesperson_12
109,2025-10-27,Customer_71,West,Maharashtra,Mumbai,Clothing,Jeans,2,15786.0,10,3253.17,Salesperson_12
110,2025-11-30,Customer_99,East,Odisha,Bhubaneswar,Office,Monitor,2,92982.0,0,24472.69,Salesperson_9
111,2025-02-18,Customer_41,South,Tamil Nadu,Coimbatore,Furniture,Bookshelf,6,154122.0,15,23734.39,Salesperson_7
112,2025-02-17,Customer_56,East,Bihar,Patna,Clothing,Jeans,8,39192.0,0,10109.3,Salesperson_2
113,2025-01-27,Customer_37,East,West Bengal,Kolkata,Clothing,Shirt,7,140854.35,15,37611.36,Salesperson_10
114,2025-10-12,Customer_48,East,Odisha,Bhubaneswar,Furniture,Desk,8,121568.0,0,16719.06,Salesperson_2
115,2025-05-20,Customer_90,East,Bihar,Patna,Office,Printer,10,392499.0,10,22465.97,Salesperson_13
116,2025-11-21,Customer_4,East,Odisha,Bhubaneswar,Electronics,Smartphone,3,95915.7,15,6464.37,Salesperson_2
117,2025-10-18,Customer_77,South,Tamil Nadu,Coimbatore,Office,Pen,3,66827.7,10,15397.03,Salesperson_2
118,2025-08-15,Customer_54,North,Delhi,Delhi,Electronics,Laptop,5,125540.75,15,21519.62,Salesperson_5
119,2025-12-08,Customer_40,South,Telangana,Hyderabad,Clothing,Shoes,2,30499.2,20,5235.44,Salesperson_1
120,2025-05-29,Customer_42,South,Tamil Nadu,Chennai,Electronics,Smartphone,5,68129.25,5,16421.89,Salesperson_2
121,2025-12-09,Customer_46,North,Punjab,Ludhiana,Furniture,Desk,7,235429.95,5,41215.68,Salesperson_2
122,2025-10-21,Customer_52,West,Rajasthan,Jaipur,Office,Printer,8,40334.4,10,7822.45,Salesperson_12
123,2025-12-20,Customer_47,West,Gujarat,Ahmedabad,Office,Printer,6,56462.4,20,9317.66,Salesperson_2
124,2025-06-23,Customer_29,West,Maharashtra,Mumbai,Office,Monitor,9,43253.1,15,11575.87,Salesperson_6
125,2025-03-16,Customer_33,South,Karnataka,Bengaluru,Furniture,Sofa,6,274563.3,5,29945.85,Salesperson_4
126,2025-08-18,Customer_88,South,Telangana,Hyderabad,Electronics,Smartphone,8,197792.0,20,47464.01,Salesperson_15
127,2025-05-21,Customer_76,East,Bihar,Patna,Furniture,Bookshelf,2,53092.7,15,11035.12,Salesperson_1
128,2025-05-27,Customer_10,East,Bihar,Patna,Clothing,Shoes,8,23712.0,0,3371.48,Salesperson_11
129,2025-09-01,Customer_65,North,Haryana,Faridabad,Office,Printer,8,288526.4,5,37618.56,Salesperson_3
130,2025-12-29,Customer_57,North,Punjab,Amritsar,Clothing,Shirt,9,366316.2,5,21900.41,Salesperson_8
131,2025-11-20,Customer_83,South,Tamil Nadu,Coimbatore,Clothing,Shoes,7,126980.0,20,8011.34,Salesperson_6
132,2025-06-20,Customer_11,North,Punjab,Amritsar,Office,Pen,5,191720.0,20,51442.29,Salesperson_10
133,2025-07-12,Customer_83,South,Tamil Nadu,Coimbatore,Office,Notebook,10,469540.0,0,59817.27,Salesperson_13
134,2025-04-20,Customer_44,East,West Bengal,Kolkata,Office,Pen,1,21836.7,10,2075.92,Salesperson_13
135,2025-10-04,Customer_95,West,Maharashtra,Mumbai,Furniture,Desk,2,39770.0,0,7036.2,Salesperson_15
136,2025-11-16,Customer_22,North,Haryana,Faridabad,Furniture,Bookshelf,3,31729.05,5,8180.9,Salesperson_12
137,2025-08-18,Customer_30,West,Maharashtra,Pune,Clothing,Jeans,8,291708.0,10,69455.03,Salesperson_9
138,2025-07-15,Customer_65,South,Tamil Nadu,Coimbatore,Furniture,Sofa,10,249679.0,15,60512.11,Salesperson_9
139,2025-10-11,Customer_14,West,Maharashtra,Mumbai,Furniture,Sofa,1,36142.0,15,9705.18,Salesperson_12
140,2025-02-16,Customer_29,North,Punjab,Amritsar,Furniture,Sofa,8,259486.8,5,66885.75,Salesperson_14
141,2025-02-11,Customer_48,West,Gujarat,Ahmedabad,Office,Printer,7,210413.7,10,22923.42,Salesperson_4
142,2025-08-30,Customer_90,North,Punjab,Amritsar,Clothing,Jeans,3,8127.0,10,2270.27,Salesperson_14
143,2025-03-18,Customer_71,South,Telangana,Hyderabad,Office,Printer,2,3141.0,10,326.39,Salesperson_12
144,2025-11-15,Customer_59,West,Maharashtra,Pune,Furniture,Sofa,2,6895.1,5,1068.44,Salesperson_2
145,2025-05-04,Customer_74,North,Punjab,Amritsar,Furniture,Desk,5,143150.0,0,29160.0,Salesperson_7
146,2025-09-17,Customer_71,South,Telangana,Hyderabad,Clothing,Shirt,9,260323.2,20,64196.5,Salesperson_1
147,2025-02-04,Customer_45,West,Gujarat,Ahmedabad,Office,Pen,5,247380.0,0,34453.47,Salesperson_4
148,2025-03-31,Customer_100,North,Haryana,Faridabad,Furniture,Chair,6,195928.2,10,49643.74,Salesperson_11
149,2025-04-14,Customer_6,West,Rajasthan,Jaipur,Furniture,Desk,2,80624.2,15,4776.66,Salesperson_13
150,2025-11-28,Customer_25,South,Karnataka,Mysuru,Clothing,Shoes,9,255344.4,10,15104.95,Salesperson_5
151,2025-07-17,Customer_44,East,West Bengal,Kolkata,Clothing,Shirt,6,148593.6,15,35042.37,Salesperson_3
152,2025-11-05,Customer_24,West,Rajasthan,Jaipur,Clothing,Jacket,2,81855.0,15,5707.89,Salesperson_9
153,2025-08-07,Customer_22,East,Odisha,Bhubaneswar,Electronics,Tablet,5,87490.5,15,17555.44,Salesperson_12
154,2025-01-30,Customer_10,West,Gujarat,Surat,Electronics,Tablet,10,261036.0,10,54782.93,Salesperson_11
155,2025-02-04,Customer_31,West,Gujarat,Ahmedabad,Electronics,Smartphone,10,381981.5,15,22422.22,Salesperson_13
156,2025-02-09,Customer_74,East,Odisha,Bhubaneswar,Electronics,Smartphone,8,178639.2,10,28758.2,Salesperson_3
157,2025-07-18,Customer_72,East,Odisha,Bhubaneswar,Clothing,Jeans,2,4176.2,5,729.84,Salesperson_2
158,2025-02-07,Customer_58,East,Odisha,Bhubaneswar,Furniture,Sofa,8,108944.0,0,9143.9,Salesperson_3
159,2025-03-22,Customer_92,West,Maharashtra,Pune,Clothing,Shirt,9,291851.1,10,79626.59,Salesperson_12
160,2025-10-11,Customer_74,South,Tamil Nadu,Chennai,Electronics,Smartphone,3,40835.7,15,2310.12,Salesperson_6
161,2025-07-29,Customer_74,West,Rajasthan,Jaipur,Electronics,Laptop,5,113020.25,15,20504.58,Salesperson_2
162,2025-10-10,Customer_82,South,Tamil Nadu,Chennai,Office,Monitor,9,197316.9,5,53174.94,Salesperson_10
163,2025-06-15,Customer_91,South,Karnataka,Mysuru,Electronics,Laptop,9,85276.8,10,7774.2,Salesperson_4
164,2025-11-17,Customer_39,East,Bihar,Patna,Electronics,Tablet,4,134780.8,20,15986.72,Salesperson_10
165,2025-10-16,Customer_6,North,Haryana,Gurugram,Furniture,Desk,10,381816.0,20,51317.94,Salesperson_14
166,2025-09-12,Customer_81,North,Delhi,Delhi,Clothing,Jeans,10,222408.0,20,46649.59,Salesperson_9
167,2025-01-31,Customer_21,East,Bihar,Patna,Office,Notebook,7,118952.4,15,8117.7,Salesperson_8
168,2025-06-13,Customer_94,West,Gujarat,Surat,Furniture,Sofa,10,89235.0,10,23680.41,Salesperson_14
169,2025-08-19,Customer_32,East,Odisha,Bhubaneswar,Clothing,Shirt,6,83344.2,15,6720.08,Salesperson_3
170,2025-06-10,Customer_25,North,Delhi,Delhi,Office,Monitor,4,39477.6,10,11189.45,Salesperson_13
171,2025-09-16,Customer_59,South,Tamil Nadu,Coimbatore,Office,Pen,8,16144.0,0,4622.16,Salesperson_4
172,2025-12-01,Customer_87,South,Telangana,Hyderabad,Electronics,Laptop,5,131732.0,20,35644.69,Salesperson_8
173,2025-07-07,Customer_6,East,Bihar,Patna,Electronics,Headphones,3,48146.4,10,11601.56,Salesperson_7
174,2025-10-09,Customer_36,North,Haryana,Gurugram,Clothing,Jacket,2,41310.4,20,6716.6,Salesperson_14
175,2025-04-12,Customer_78,North,Delhi,Delhi,Office,Pen,6,200113.2,10,47775.28,Salesperson_9
176,2025-09-23,Customer_59,West,Rajasthan,Jaipur,Electronics,Laptop,3,127615.5,10,32030.4,Salesperson_3
177,2025-09-17,Customer_66,South,Tamil Nadu,Coimbatore,Furniture,Bookshelf,10,440568.0,10,87422.42,Salesperson_9
178,2025-10-26,Customer_40,West,Rajasthan,Jaipur,Office,Printer,6,133248.0,0,39304.76,Salesperson_13
179,2025-11-19,Customer_93,North,Haryana,Faridabad,Clothing,Jeans,1,32929.85,15,3050.23,Salesperson_10
180,2025-03-19,Customer_53,West,Maharashtra,Mumbai,Electronics,Laptop,4,5919.4,15,760.19,Salesperson_12
181,2025-12-06,Customer_62,South,Tamil Nadu,Coimbatore,Electronics,Smartphone,9,101433.6,20,13314.42,Salesperson_9
182,2025-04-09,Customer_32,West,Gujarat,Ahmedabad,Office,Pen,9,192115.8,10,38907.13,Salesperson_5
183,2025-05-21,Customer_37,East,West Bengal,Kolkata,Clothing,Jeans,8,144683.6,15,19850.7,Salesperson_2
184,2025-08-15,Customer_84,West,Gujarat,Surat,Furniture,Sofa,1,19350.0,0,2643.03,Salesperson_5
185,2025-05-03,Customer_32,West,Maharashtra,Mumbai,Clothing,Jacket,3,18379.2,20,4323.21,Salesperson_1
186,2025-03-12,Customer_1,South,Telangana,Hyderabad,Electronics,Laptop,7,131768.7,15,9900.6,Salesperson_9
187,2025-02-15,Customer_84,South,Tamil Nadu,Coimbatore,Office,Notebook,5,96966.0,10,20505.83,Salesperson_10
188,2025-04-06,Customer_96,South,Telangana,Hyderabad,Furniture,Bookshelf,3,7346.55,15,1814.53,Salesperson_14
189,2025-10-06,Customer_68,East,West Bengal,Kolkata,Clothing,Shirt,6,97659.9,15,29031.83,Salesperson_8
190,2025-11-28,Customer_33,South,Telangana,Hyderabad,Clothing,Jeans,2,42124.9,5,9805.83,Salesperson_12
191,2025-09-21,Customer_42,South,Karnataka,Mysuru,Clothing,Jeans,3,103374.45,15,26541.13,Salesperson_2
192,2025-07-16,Customer_31,West,Rajasthan,Jaipur,Furniture,Desk,8,164973.2,5,8530.36,Salesperson_8
193,2025-03-02,Customer_60,East,Odisha,Bhubaneswar,Electronics,Tablet,6,261635.7,5,17145.27,Salesperson_5
194,2025-03-10,Customer_62,South,Tamil Nadu,Coimbatore,Electronics,Tablet,6,232446.0,5,24356.19,Salesperson_3
195,2025-12-15,Customer_97,West,Rajasthan,Jaipur,Office,Monitor,9,376388.1,5,90508.13,Salesperson_10
196,2025-09-16,Customer_26,North,Haryana,Faridabad,Clothing,Shirt,10,78530.0,0,20197.41,Salesperson_10
197,2025-09-19,Customer_58,South,Karnataka,Mysuru,Office,Printer,4,151945.6,20,26166.09,Salesperson_13
198,2025-06-07,Customer_93,North,Punjab,Amritsar,Office,Monitor,10,34264.0,20,5673.93,Salesperson_1
199,2025-10-05,Customer_8,West,Gujarat,Ahmedabad,Furniture,Chair,1,25440.3,10,5726.52,Salesperson_15
200,2025-07-15,Customer_58,North,Punjab,Amritsar,Clothing,Shoes,3,23906.25,15,3433.3,Salesperson_14
201,2025-03-07,Customer_94,West,Gujarat,Ahmedabad,Furniture,Sofa,2,19513.6,20,2893.18,Salesperson_4
202,2025-06-27,Customer_20,North,Delhi,Delhi,Office,Monitor,9,216793.8,5,24254.46,Salesperson_5
203,2025-02-21,Customer_77,South,Telangana,Hyderabad,Electronics,Headphones,10,14487.5,5,1470.78,Salesperson_1
204,2025-01-29,Customer_18,West,Rajasthan,Jaipur,Furniture,Chair,7,194625.55,5,35994.04,Salesperson_9
205,2025-06-03,Customer_36,East,West Bengal,Kolkata,Clothing,Jeans,5,39552.0,20,4163.27,Salesperson_1
206,2025-06-13,Customer_90,South,Telangana,Hyderabad,Office,Printer,6,217566.0,15,53619.39,Salesperson_7
207,2025-06-03,Customer_91,West,Maharashtra,Pune,Office,Notebook,9,269598.6,5,70725.21,Salesperson_3
208,2025-11-28,Customer_11,West,Maharashtra,Pune,Office,Notebook,7,103414.5,10,10427.72,Salesperson_15
209,2025-02-07,Customer_25,West,Gujarat,Ahmedabad,Furniture,Chair,5,100872.0,20,20248.09,Salesperson_13
210,2025-03-02,Customer_96,South,Tamil Nadu,Chennai,Clothing,Jacket,1,13661.95,5,3969.06,Salesperson_13
211,2025-10-01,Customer_84,West,Maharashtra,Mumbai,Office,Notebook,9,174773.7,10,25371.1,Salesperson_6
212,2025-06-13,Customer_27,East,Odisha,Bhubaneswar,Office,Monitor,2,81334.8,15,19553.47,Salesperson_6
213,2025-10-24,Customer_93,East,Odisha,Bhubaneswar,Furniture,Desk,1,14072.0,20,3992.08,Salesperson_7
214,2025-12-02,Customer_88,East,West Bengal,Kolkata,Clothing,Jeans,7,251642.65,5,43993.52,Salesperson_6
215,2025-09-08,Customer_24,East,Odisha,Bhubaneswar,Office,Notebook,6,66074.4,5,15202.29,Salesperson_15
216,2025-04-29,Customer_9,North,Haryana,Gurugram,Electronics,Laptop,1,26149.7,5,6815.56,Salesperson_12
217,2025-12-04,Customer_63,South,Karnataka,Bengaluru,Office,Pen,1,32792.0,20,9122.34,Salesperson_1
218,2025-05-27,Customer_3,North,Haryana,Faridabad,Electronics,Laptop,9,387414.9,10,71258.98,Salesperson_9
219,2025-07-01,Customer_35,West,Maharashtra,Mumbai,Electronics,Smartphone,4,41849.6,20,7600.47,Salesperson_13
220,2025-02-11,Customer_84,West,Maharashtra,Pune,Office,Monitor,10,156161.0,5,19519.13,Salesperson_14
221,2025-12-26,Customer_22,North,Delhi,Delhi,Office,Monitor,9,285255.0,0,59671.64,Salesperson_2
222,2025-01-24,Customer_10,West,Gujarat,Surat,Electronics,Laptop,4,45936.0,20,7757.45,Salesperson_11
223,2025-12-31,Customer_51,East,Bihar,Patna,Furniture,Sofa,1,11260.8,20,968.97,Salesperson_15
224,2025-03-13,Customer_89,North,Punjab,Amritsar,Furniture,Bookshelf,9,170136.0,15,40645.88,Salesperson_12
225,2025-11-11,Customer_77,North,Haryana,Faridabad,Electronics,Laptop,7,109991.0,0,14865.08,Salesperson_7
226,2025-08-10,Customer_24,East,West Bengal,Kolkata,Office,Monitor,4,76217.6,20,21743.79,Salesperson_11
227,2025-11-21,Customer_20,West,Maharashtra,Pune,Furniture,Chair,2,34315.9,5,4975.81,Salesperson_12
228,2025-05-19,Customer_14,West,Gujarat,Surat,Electronics,Laptop,1,17596.7,15,2463.18,Salesperson_3
229,2025-02-17,Customer_77,North,Delhi,Delhi,Office,Monitor,2,4442.0,0,615.12,Salesperson_10
